"id";"nome";"grupo";"subgrupo";"equipamento_descricao";"equipamento_categorias";"origem";"imagem_estado";"imagem_url";"imagem_alternativa";"video_estado";"video_url"
"leg_press_calf_raise";"Panturrilha no Leg Press";"Pernas";"";"máquina leg press";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/leg_press_calf_raise/thumb.webp";"";"waiting_for_demo";""
"lat_pulldown";"Puxada Frontal na Polia";"Costas";"";"polia alta";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/lat_pulldown/thumb.webp";"";"waiting_for_demo";""
"neutral_grip_lat_pulldown";"Puxada Neutra na Polia";"Costas";"";"polia alta e puxador neutro";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/neutral_grip_lat_pulldown/thumb.webp";"";"waiting_for_demo";""
"straight_arm_cable_pulldown";"Pulldown com Braços Estendidos";"Costas";"";"polia alta";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/straight_arm_cable_pulldown/thumb.webp";"";"waiting_for_demo";""
"assisted_pull_up";"Barra Fixa Assistida no Graviton";"Costas";"";"máquina gravitacional";"maquinas";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/assisted_pull_up/thumb.webp";"";"waiting_for_demo";""
"pull_up";"Barra Fixa Pronada";"Costas";"";"barra fixa";"barra_fixa";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/pull_up/thumb.webp";"";"waiting_for_demo";""
"seated_cable_row";"Remada Baixa no Cabo";"Costas";"";"polia baixa";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/seated_cable_row/thumb.webp";"";"waiting_for_demo";""
"single_arm_dumbbell_row";"Remada Unilateral com Halter";"Costas";"";"halter e banco";"halteres + banco";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/single_arm_dumbbell_row/thumb.webp";"";"waiting_for_demo";""
"chest_supported_dumbbell_row";"Remada com Halteres e Peito Apoiado";"Costas";"";"halteres e banco inclinado";"halteres + banco";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/chest_supported_dumbbell_row/thumb.webp";"";"waiting_for_demo";""
"seated_dumbbell_shoulder_press";"Desenvolvimento Sentado com Halteres";"Ombros";"";"halteres e banco";"halteres + banco";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/seated_dumbbell_shoulder_press/thumb.webp";"";"waiting_for_demo";""
"standing_barbell_overhead_press";"Desenvolvimento Militar com Barra";"Ombros";"";"barra";"barra_anilhas";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/standing_barbell_overhead_press/thumb.webp";"";"waiting_for_demo";""
"dumbbell_lateral_raise";"Elevação Lateral com Halteres";"Ombros";"";"halteres";"halteres";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/dumbbell_lateral_raise/thumb.webp";"";"waiting_for_demo";""
"single_arm_cable_lateral_raise";"Elevação Lateral Unilateral no Cabo";"Ombros";"";"polia baixa";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/single_arm_cable_lateral_raise/thumb.webp";"";"waiting_for_demo";""
"bent_over_dumbbell_reverse_fly";"Crucifixo Inverso Curvado com Halteres";"Ombros";"";"halteres";"halteres";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/bent_over_dumbbell_reverse_fly/thumb.webp";"";"waiting_for_demo";""
"cable_face_pull";"Face Pull na Polia";"Ombros";"";"polia e corda";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/cable_face_pull/thumb.webp";"";"waiting_for_demo";""
"reverse_pec_deck_fly";"Crucifixo Inverso no Peck Deck";"Ombros";"";"máquina peck deck";"maquinas";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/reverse_pec_deck_fly/thumb.webp";"";"waiting_for_demo";""
"barbell_biceps_curl";"Rosca Direta com Barra";"Braços";"biceps";"barra";"barra_anilhas";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/barbell_biceps_curl/thumb.webp";"";"waiting_for_demo";""
"alternating_dumbbell_curl";"Rosca Alternada com Halteres";"Braços";"biceps";"halteres";"halteres";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/alternating_dumbbell_curl/thumb.webp";"";"waiting_for_demo";""
"dumbbell_hammer_curl";"Rosca Martelo com Halteres";"Braços";"biceps";"halteres";"halteres";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/dumbbell_hammer_curl/thumb.webp";"";"waiting_for_demo";""
"cable_biceps_curl";"Rosca Direta no Cabo";"Braços";"biceps";"polia baixa e barra";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/cable_biceps_curl/thumb.webp";"";"waiting_for_demo";""
"dumbbell_concentration_curl";"Rosca Concentrada com Halter";"Braços";"biceps";"halter e banco";"halteres + banco";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/dumbbell_concentration_curl/thumb.webp";"";"waiting_for_demo";""
"cable_triceps_pushdown";"Tríceps na Polia com Barra";"Braços";"triceps";"polia alta e barra";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/cable_triceps_pushdown/thumb.webp";"";"waiting_for_demo";""
"rope_triceps_pushdown";"Tríceps na Polia com Corda";"Braços";"triceps";"polia alta e corda";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/rope_triceps_pushdown/thumb.webp";"";"waiting_for_demo";""
"lying_ez_bar_triceps_extension";"Tríceps Testa com Barra EZ";"Braços";"triceps";"barra EZ e banco";"barra_anilhas + banco";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/lying_ez_bar_triceps_extension/thumb.webp";"";"waiting_for_demo";""
"overhead_dumbbell_triceps_extension";"Tríceps Francês com Halter";"Braços";"triceps";"halter";"halteres";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/overhead_dumbbell_triceps_extension/thumb.webp";"";"waiting_for_demo";""
"single_arm_cable_triceps_extension";"Tríceps Unilateral na Polia";"Braços";"triceps";"polia alta e puxador individual";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/single_arm_cable_triceps_extension/thumb.webp";"";"waiting_for_demo";""
"abdominal_crunch";"Abdominal Crunch";"Core";"";"peso corporal";"";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/abdominal_crunch/thumb.webp";"";"waiting_for_demo";""
"cable_abdominal_crunch";"Abdominal na Polia Alta";"Core";"";"polia alta e corda";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/cable_abdominal_crunch/thumb.webp";"";"waiting_for_demo";""
"reverse_crunch";"Abdominal Reverso";"Core";"";"peso corporal";"";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/reverse_crunch/thumb.webp";"";"waiting_for_demo";""
"lying_leg_raise";"Elevação de Pernas Deitado";"Core";"";"peso corporal";"";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/lying_leg_raise/thumb.webp";"";"waiting_for_demo";""
"dead_bug";"Dead Bug";"Core";"";"peso corporal";"";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/dead_bug/thumb.webp";"";"waiting_for_demo";""
"bird_dog";"Bird Dog";"Core";"";"peso corporal";"";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/bird_dog/thumb.webp";"";"waiting_for_demo";""
"standing_cable_pallof_press";"Pallof Press em Pé no Cabo";"Core";"";"polia e puxador individual";"crossover";"added";"ready";"/assets/exercise-library/rebuild-2026-09-05/standing_cable_pallof_press/thumb.webp";"";"waiting_for_demo";""
